GeneID	Mock.1	Mock.2	Mock.3	RSV.1	RSV.2	RSV.3	Mock.4	P1	P2	P3	P4
USP51	274	315	284	153	56	24	290	43	8	30	6
USP53	1266	1407	805	2558	1888	1006	880	832	2381	859	384
USP54	3669	3810	2581	5990	3951	1958	3281	439	710	358	269
USP6	77	117	86	146	102	41	161	8	5	6	6
USP6NL	1185	1321	792	1898	1264	692	740	714	1741	458	244
USP7	2983	2757	1917	3944	2507	1493	1889	5704	4929	3970	2169
USP8	2507	2627	1675	3308	2168	1087	1722	1631	2037	1570	815
USP9X	7586	8004	4765	10993	7641	3673	4360	4424	5783	4170	2419
USP9Y	0	0	0	1	0	0	0	0	0	0	2
USPL1	391	379	319	581	344	205	336	336	289	444	169
UST	546	533	319	956	604	351	314	432	3265	367	230
UTF1	1	1	0	0	0	0	0	0	0	0	0
UTP11L	467	507	235	580	386	160	283	1945	902	1590	683
UTP14A	274	262	187	338	242	129	197	1199	520	724	457
UTP14C	889	829	561	1519	1005	575	540	675	793	616	235
UTP15	412	448	250	576	401	230	222	1060	612	728	370
UTP18	462	391	283	625	449	240	289	1543	829	1210	615
UTP20	924	1002	654	1115	791	587	610	1330	270	917	331
UTP23	366	423	229	541	320	193	207	570	321	535	226
UTP3	618	527	359	810	553	285	364	1909	1233	1853	913
UTP6	655	601	344	965	615	311	380	1783	1575	1549	672
UTRN	10531	10454	6643	12004	6588	3576	7174	1805	3533	1819	871
UTS2	0	2	0	0	0	0	1	0	1	2	0
UTS2B	3	0	6	11	10	1	4	3	0	2	3
UTS2R	0	0	2	0	2	0	0	0	0	0	1
UTY	1	0	0	0	0	0	1	0	0	0	0
UVRAG	504	508	363	882	567	317	383	571	748	529	275
UVSSA	998	1112	882	1567	881	601	1259	399	673	342	220
UXS1	727	707	309	1343	956	565	309	1651	1704	1705	1014
UXT	312	353	193	335	228	110	176	620	929	678	301
UXT-AS1	3	1	4	2	2	0	3	1	3	0	0
VAC14	531	639	464	1034	656	321	447	1046	1952	1149	547
VAC14-AS1	19	15	26	42	30	17	32	3	2	4	1
VAMP1	178	171	161	202	93	78	270	47	24	69	26
VAMP2	508	383	373	600	462	316	422	639	1340	1059	544
VAMP3	987	1065	567	1615	1130	591	556	3388	2366	3672	1683
VAMP4	350	349	203	538	348	199	262	259	291	373	176
VAMP5	70	66	31	100	83	58	39	215	33	153	93
VAMP7	0	0	0	1	0	0	0	0	0	0	0
