NAME	Basal	Club	Goblet	Hillock	Multiciliated_Deuterosomal	Suprabasal
ENSG00000128536	1	1	1	1	321.311600594116	1
ENSG00000187492	1	1	1	1	276.224607090377	1
ENSG00000164885	1	28.9382934113716	1	1	1	1
ENSG00000168564	1	1	1	51.172286530819	1	1
ENSG00000153046	45.4919285076619	27.21334132113	1	37.839010057974	1	121.363544602975
ENSG00000079385	1	53.9509954675611	173.071917188735	197.816271631415	1	86.0442453294778
ENSG00000105388	1	205.789553310776	788.056799844032	833.83837092027	1	188.823553861666
ENSG00000086548	86.7529302303342	1997.80488177702	3538.34548865385	1640.668584829	144.94859377851	956.640976387772
ENSG00000048740	1	57.3768722587543	63.9021311670999	1	1	1
ENSG00000143126	70.6290362180974	1	1	90.0201310550142	1	91.3481773335755
ENSG00000100162	1	1	1	1	120.181085766581	1
ENSG00000110318	1	1	1	1	238.632438559545	1
ENSG00000182923	1	31.8777120128998	1	1	1	1
ENSG00000090661	1	52.0830053399169	1	1	88.5974173358637	1
ENSG00000262243	1	1	1	1	132.096272568554	1
ENSG00000198848	1	1	1	1	132.096272568554	1
ENSG00000163885	1	1	1	1	118.847334176208	1
ENSG00000188931	1	1	1	1	573.836614855109	1
ENSG00000160401	1	1	1	1	313.918536977406	1
ENSG00000272514	1	1	1	1	138.623634246209	1
ENSG00000163075	1	1	1	1	174.438710650849	1
ENSG00000137691	1	1	1	1	371.86933338781	1
ENSG00000197748	1	1	1	1	250.419950413054	1
ENSG00000206530	1	1	1	1	130.527038715542	1
ENSG00000213085	1	1	1	1	365.9738063847	1
ENSG00000171811	1	1	1	1	111.147623058749	1
ENSG00000166596	1	1	1	1	231.346584916229	1
ENSG00000172361	1	1	1	1	370.008460122309	1
ENSG00000181378	1	1	1	1	136.020788636058	1
ENSG00000156042	1	1	1	1	141.351671767354	1
ENSG00000186710	1	1	1	1	244.212953074119	1
ENSG00000142609	1	1	1	1	124.621682337025	1
ENSG00000188523	1	1	1	1	188.381151421684	1
ENSG00000205403	40.5618803016224	81.8364008256517	65.5812385001064	1	1	1
ENSG00000165410	1	72.062116082466	65.3328868905862	1	1	70.1465736437136
ENSG00000001626	1	30.2776887375097	1	1	1	1
ENSG00000128965	1	1	1	1	1	95.8492060569954
ENSG00000124177	25.7387287381438	46.0110761082778	1	1	1	1
ENSG00000085872	1	28.4553638804338	1	1	1	1
ENSG00000072609	1	30.9780700143762	1	51.1943335185931	1	1
ENSG00000110721	1	56.1635054569692	85.2826595633625	1	1	1
ENSG00000188419	35.311055316688	1	1	1	1	1
ENSG00000166869	1	80.9241992650342	1	1	1	1
ENSG00000111666	1	52.6887151808674	85.272654459634	46.2918726924872	1	1
ENSG00000104472	38.5203574244687	44.3487112265211	1	1	1	80.6398898642991
ENSG00000182022	1	37.6414867628939	1	1	1	1
ENSG00000213341	1	1	1	57.7928258941317	1	1
ENSG00000166797	1	44.7003417426459	77.9017034777793	1	1	1
ENSG00000166595	1	1	92.8640965077957	59.3932307911886	1	62.209026496331
ENSG00000136108	50.4103883674828	1	1	1	1	1
ENSG00000016602	1	1	1	216.617387182204	1	1
ENSG00000134873	1	135.612658060864	1	1	1	1
ENSG00000165215	1	1	1	1	149.623575483382	1
ENSG00000288292	1	98.8878538584748	1	1	228.956301490134	1
ENSG00000181885	1	98.8878538584748	1	1	228.956301490134	1
ENSG00000169583	1	1	1	100.663585605146	1	1
ENSG00000115295	43.3352207546177	1	1	1	1	85.5080049638038
ENSG00000165959	1	1	1	1	274.669265637536	1
ENSG00000188603	1	1	1	52.4246970993118	1	1
ENSG00000103351	1	1	1	1	244.415604805037	1
ENSG00000168405	1	32.7174550856122	1	1	1	1
ENSG00000134326	1	1	138.638363934796	1	1	1
ENSG00000140931	41.0016298550284	1	1	1	1	1
ENSG00000170293	1	59.1163201116425	41.4315392831418	37.551788765037	1	1
ENSG00000105427	1	1	1	194.224893328704	27.5259158125458	1
ENSG00000080802	28.3003482298857	44.9285356768936	1	1	1	1
ENSG00000256053	1	1	1	51.4459593343254	1	1
ENSG00000106078	1	1	51.8020625575451	1	55.6112967474832	1
ENSG00000082438	1	1	1	1	1	63.3877432040165
ENSG00000135775	1	33.0964730945832	1	1	1	62.700723899888
ENSG00000136152	1	29.7550912342244	1	1	1	1
ENSG00000065618	503.723955496718	1	1	1	1	245.5683678875
ENSG00000108821	1	38.3285238542013	54.1080322696238	1	1	89.9678860662665
ENSG00000188153	45.7121798405328	1	1	1	1	1
ENSG00000114270	128.931725217446	1	1	1	1	1
ENSG00000130309	58.130052447669	1	1	1	1	76.4042991842618
ENSG00000110442	1	1	1	40.5325517017934	1	1
ENSG00000172301	1	1	1	1	143.225135646193	1
ENSG00000167113	30.9535684801267	1	1	1	222.019092646496	1
ENSG00000110871	1	36.2311498730176	1	1	1	1
ENSG00000119723	1	36.3464427921265	1	1	1	1
ENSG00000103187	63.2845326249312	1	1	1	1	67.2338713661953
ENSG00000014919	1	35.9613602716133	82.4735552399288	62.26697364268	1	59.302740593149
ENSG00000128510	161.744782901261	1	1	78.1259603167116	1	123.225320654579
ENSG00000137449	1	1	1	69.4936093571619	1	1
ENSG00000135678	1	1	1	149.123104185381	1	70.7359692965472
ENSG00000140848	1	48.2170509666669	1	1	32.1348996383675	1
ENSG00000103381	1	51.8025115719524	58.370704465114	58.6601794045013	1	1
ENSG00000119203	1	32.4574480927559	58.8804868395385	1	1	51.8838449967783
ENSG00000177685	1	58.6725042187866	56.8673384393167	1	67.1416270568163	1
ENSG00000113851	1	35.5732058581073	1	1	1	1
ENSG00000118260	36.2247540108878	31.5944242405694	1	1	1	52.9835510081308
ENSG00000157613	1	114.568672824872	141.662140971975	1	1	1
ENSG00000164463	1	43.1618179014063	1	1	1	1
ENSG00000213145	1	1	1	1	247.120716512829	1
ENSG00000099942	37.9047793561045	1	1	1	1	1
ENSG00000109846	1	1	1	1	1	77.2171098833727
ENSG00000165475	1	44.3252122570559	1	1	1	1
ENSG00000104218	1	1	1	1	169.647348534831	1
ENSG00000175183	43.5187346545112	1	1	1	1	1
ENSG00000175315	1	1	1	1	258.62954742155	59.1897631023397
ENSG00000121552	1021.30268410282	247.804245415355	832.889950806541	11119.0601578628	70.8209300471043	4236.68533781225
ENSG00000136943	57.8099407748955	1	1	262.66015290861	1	1
ENSG00000178531	1	1	1	1	278.248628346944	1
